,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
China,Wheat,13695.0,13337.0,15116.0,16397.0,17754.0,14650.0,18449.0,21395.0,18914.0,21091.0,24517.0,28017.0,29691.0,29367.0,30403.0,29829.0,29679.0,30430.0,31941.0,31004.0,33312.0,35188.0,34263.0,35415.0,37341.0,41019.0,36852.0,39466.0,37382.0,38061.0,37766.0,39318.0,42519.0,42753.0,45935.0,46076.0,47620.0,47390.0,47484.0,48374.0,49868.0,50553.0
"China, Taiwan Province of",Wheat,23006.0,23860.0,24276.0,23991.0,24382.0,23065.0,20808.0,25803.0,24969.0,26595.0,22956.0,12682.0,23206.0,20180.0,32566.0,36506.0,34384.0,35378.0,27023.0,30092.0,30856.0,34901.0,32504.0,33681.0,33860.0,42500.0,24444.0,46316.0,35278.0,34412.0,36389.0,35200.0,32162.0,31613.0,40448.0,42286.0,44242.0,44938.0,27253.0,21630.0,33442.0,19889.0
"China, mainland",Wheat,13695.0,13337.0,15116.0,16397.0,17754.0,14650.0,18449.0,21395.0,18914.0,21091.0,24517.0,28017.0,29691.0,29367.0,30402.0,29829.0,29679.0,30430.0,31941.0,31004.0,33312.0,35188.0,34263.0,35415.0,37341.0,41019.0,36852.0,39466.0,37382.0,38061.0,37766.0,39318.0,42519.0,42753.0,45935.0,46076.0,47620.0,47390.0,47486.0,48376.0,49869.0,50556.0
Colombia,Wheat,11400.0,12814.0,13038.0,12924.0,13811.0,8750.0,12694.0,13649.0,12152.0,15974.0,15607.0,16803.0,13823.0,17101.0,17684.0,18186.0,16319.0,17177.0,18483.0,19852.0,17490.0,18773.0,20547.0,21193.0,21824.0,21243.0,20497.0,21537.0,15992.0,15106.0,17353.0,19496.0,18879.0,23371.0,15490.0,18709.0,18151.0,16946.0,17697.0,15964.0,15196.0,16938.0
Croatia,Wheat,,,,,,,,,,,,,,,,,,,,,38967.0,41867.0,37823.0,38605.0,36905.0,40000.0,42214.0,32976.0,47455.0,44047.0,45919.0,32207.0,49278.0,41144.0,45833.0,46408.0,54833.0,51896.0,40415.0,52237.0,53473.0,48846.0
Cyprus,Wheat,10126.0,482.0,11100.0,12151.0,12010.0,8521.0,12657.0,11616.0,13713.0,12268.0,11978.0,11934.0,14950.0,17703.0,12785.0,24026.0,24290.0,14953.0,20392.0,11429.0,21000.0,23400.0,24242.0,30137.0,35135.0,21905.0,19828.0,21212.0,16260.0,19444.0,21864.0,19765.0,13329.0,17570.0,13951.0,20261.0,4954.0,25499.0,24115.0,22413.0,26811.0,21935.0
Czechia,Wheat,,,,,,,,,,,,,,,,,,,,,,42350.0,45800.0,46016.0,46671.0,44100.0,42143.0,46457.0,42085.0,48483.0,45551.0,40684.0,58419.0,50522.0,44865.0,48570.0,57726.0,52425.0,49924.0,56921.0,43156.0,56676.0
Czechoslovakia,Wheat,33685.0,37769.0,39942.0,35735.0,37672.0,40706.0,44097.0,34228.0,45311.0,39918.0,43122.0,48926.0,51362.0,49816.0,44031.0,50784.0,52826.0,51315.0,54212.0,51526.0,45957.0,,,,,,,,,,,,,,,,,,,,,
Democratic People's Republic of Korea,Wheat,6960.0,8522.0,9714.0,11158.0,12000.0,13529.0,13059.0,13529.0,11647.0,13412.0,14235.0,14588.0,15529.0,14941.0,15889.0,14778.0,14222.0,16125.0,12889.0,13116.0,13452.0,13987.0,14505.0,14849.0,13333.0,13333.0,23571.0,20208.0,8475.0,21628.0,23016.0,23333.0,25000.0,25065.0,24875.0,24375.0,23973.0,22624.0,21918.0,20159.0,14800.0,15000.0
Democratic Republic of the Congo,Wheat,4340.0,4961.0,6296.0,6481.0,6667.0,6364.0,6667.0,5918.0,6078.0,5962.0,5926.0,6071.0,5965.0,5862.0,11634.0,9300.0,9153.0,9264.0,9259.0,9255.0,12356.0,12803.0,12813.0,12929.0,12901.0,12894.0,12904.0,12850.0,12849.0,12850.0,12872.0,12129.0,12842.0,12850.0,12849.0,12849.0,12849.0,12851.0,12854.0,12961.0,13112.0,13046.0
Denmark,Wheat,43939.0,44129.0,53502.0,51017.0,46837.0,52207.0,52705.0,51616.0,46842.0,55580.0,66730.0,64004.0,73230.0,58256.0,61684.0,57474.0,67521.0,72534.0,74180.0,70749.0,61510.0,69791.0,64948.0,75633.0,69864.0,72057.0,72476.0,70074.0,74797.0,73559.0,70345.0,70768.0,71406.0,72328.0,69964.0,65610.0,78638.0,80373.0,66264.0,64672.0,73687.0,72992.0
Ecuador,Wheat,9034.0,9717.0,9774.0,9205.0,8500.0,9731.0,10754.0,10290.0,9693.0,11141.0,11658.0,10450.0,10275.0,10192.0,8031.0,7961.0,8671.0,6665.0,7967.0,5696.0,5911.0,6711.0,6162.0,6951.0,6176.0,5976.0,6484.0,7001.0,6208.0,6100.0,5696.0,7980.0,8053.0,7220.0,7774.0,8186.0,7466.0,8617.0,8912.0,9249.0,7995.0,7064.0
Egypt,Wheat,30912.0,36926.0,32686.0,34722.0,33447.0,33320.0,33344.0,31606.0,31175.0,32974.0,34962.0,35996.0,36668.0,37590.0,38028.0,47158.0,47510.0,49416.0,51967.0,48163.0,52546.0,52970.0,50026.0,54221.0,56384.0,55994.0,59896.0,63467.0,63422.0,63580.0,64345.0,65001.0,65567.0,64929.0,64303.0,64673.0,65031.0,63829.0,55741.0,65428.0,65823.0,66682.0
Eritrea,Wheat,,,,,,,,,,,,,,,,,,,,,,2038.0,7449.0,5124.0,3665.0,3434.0,9552.0,7700.0,5943.0,11658.0,1706.0,1987.0,2980.0,11565.0,11604.0,8395.0,3307.0,10706.0,11786.0,11154.0,12692.0,12000.0
Estonia,Wheat,,,,,,,,,,,,,,,,,,,,,20562.0,20994.0,16686.0,19974.0,22046.0,21850.0,17666.0,13377.0,21285.0,22302.0,23025.0,21574.0,25083.0,30818.0,24173.0,34746.0,31831.0,30146.0,27440.0,28065.0,38994.0,32754.0
Eswatini,Wheat,30833.0,29384.0,29378.0,14684.0,20421.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,32500.0,39641.0,20000.0,16781.0,16051.0,14286.0,15000.0,15000.0,15603.0,15909.0,15000.0,15000.0,15413.0,15392.0,15428.0,15438.0,15451.0,15520.0,14773.0,15660.0,15000.0,15000.0,16847.0,20000.0,20000.0
Ethiopia,Wheat,,,,,,,,,,,,,,,,,,,,,,15487.0,10749.0,13106.0,12114.0,12917.0,13738.0,11150.0,11631.0,13259.0,14354.0,13874.0,14691.0,15567.0,15204.0,16711.0,16245.0,18269.0,18385.0,20288.0,21102.0,24446.0
Ethiopia PDR,Wheat,7868.0,8000.0,8000.0,9135.0,9920.0,11036.0,8704.0,9611.0,10023.0,11105.0,10317.0,12838.0,10646.0,10233.0,9960.0,11665.0,11838.0,12352.0,13201.0,14115.0,13497.0,,,,,,,,,,,,,,,,,,,,,
Finland,Wheat,25862.0,24614.0,27307.0,28405.0,29772.0,23148.0,20813.0,21029.0,28697.0,21840.0,30469.0,34430.0,31058.0,30070.0,31912.0,20208.0,26038.0,33487.0,34847.0,36391.0,24152.0,36212.0,37953.0,37686.0,40827.0,37188.0,28929.0,21589.0,36007.0,33811.0,32585.0,35494.0,34738.0,37304.0,35575.0,39329.0,36408.0,41027.0,34299.0,38469.0,39028.0,38215.0
France,Wheat,45698.0,45067.0,45844.0,38734.0,37722.0,42303.0,50323.0,47820.0,51810.0,50110.0,52360.0,51274.0,64597.0,59999.0,54487.0,55584.0,61509.0,63480.0,64787.0,66764.0,63992.0,64739.0,66685.0,65079.0,71361.0,66288.0,76063.0,72395.0,71175.0,66169.0,74455.0,62500.0,75788.0,69887.0,67414.0,62542.0,71018.0,74478.0,70405.0,66563.0,71512.0,72656.0
Georgia,Wheat,,,,,,,,,,,,,,,,,,,,,17674.0,14250.0,13244.0,13032.0,14039.0,17109.0,10872.0,20325.0,10430.0,26883.0,16984.0,19347.0,18165.0,19889.0,12469.0,16682.0,16834.0,10737.0,10189.0,20684.0,16989.0,18367.0
Germany,Wheat,40380.0,43477.0,46257.0,43188.0,39344.0,43553.0,48869.0,47776.0,47389.0,48797.0,52433.0,52084.0,59331.0,58295.0,60919.0,57757.0,62266.0,56815.0,62734.0,67712.0,59811.0,65841.0,67684.0,68882.0,72932.0,72902.0,72035.0,75411.0,72826.0,78827.0,69056.0,64985.0,81716.0,74651.0,72007.0,69611.0,80873.0,78091.0,72120.0,70139.0,73312.0,79979.0
Greece,Wheat,19977.0,19905.0,23504.0,22919.0,25521.0,18813.0,27213.0,24301.0,29348.0,27556.0,28778.0,20925.0,26713.0,20464.0,26311.0,25971.0,28152.0,30163.0,19332.0,31183.0,24315.0,22952.0,27510.0,26341.0,24149.0,24172.0,24379.0,23910.0,26666.0,25096.0,23432.0,20076.0,24757.0,24058.0,22859.0,22353.0,27769.0,27436.0,26044.0,27004.0,26650.0,27777.0
Guatemala,Wheat,13695.0,16853.0,11764.0,11757.0,13055.0,12445.0,11377.0,15715.0,14615.0,17556.0,16413.0,20976.0,28168.0,17079.0,19986.0,20026.0,19966.0,19993.0,19983.0,20124.0,20000.0,19924.0,21025.0,20987.0,21020.0,20408.0,19721.0,19633.0,20934.0,29638.0,19146.0,20249.0,20184.0,21288.0,22712.0,22229.0,24013.0,22131.0,20574.0,20509.0,21677.0,20240.0
Honduras,Wheat,8750.0,8750.0,8333.0,8333.0,8333.0,8333.0,10000.0,7778.0,7778.0,6364.0,6364.0,5909.0,5909.0,6000.0,6000.0,5909.0,5667.0,5833.0,5769.0,5815.0,5926.0,5821.0,6071.0,5947.0,6004.0,6667.0,5000.0,4750.0,5257.0,5302.0,5304.0,5000.0,5273.0,5312.0,5353.0,5395.0,5438.0,5750.0,5508.0,5421.0,5488.0,5500.0
Hungary,Wheat,31090.0,34793.0,37520.0,32036.0,38845.0,40566.0,42871.0,32667.0,47643.0,40098.0,43999.0,44173.0,54330.0,48449.0,43622.0,44192.0,54858.0,52643.0,50771.0,51900.0,40700.0,30649.0,46033.0,41644.0,32780.0,42153.0,41390.0,35948.0,36044.0,43105.0,35212.0,26408.0,51174.0,45000.0,40719.0,35875.0,50024.0,38546.0,37038.0,41994.0,37485.0,46386.0
India,Wheat,13799.0,12708.0,11719.0,13384.0,14103.0,13866.0,14798.0,15683.0,14356.0,16299.0,16913.0,18158.0,18432.0,18701.0,20460.0,19162.0,20019.0,22444.0,21211.0,22814.0,23940.0,23267.0,23796.0,25590.0,24828.0,26789.0,24852.0,25901.0,27785.0,27081.0,27621.0,26100.0,27132.0,26016.0,26188.0,27079.0,28022.0,29071.0,28395.0,29886.0,31775.0,31538.0
Iran (Islamic Republic of),Wheat,8312.0,8084.0,7977.0,9189.0,10494.0,10122.0,10401.0,11258.0,9825.0,9017.0,10756.0,9858.0,10820.0,10704.0,11987.0,11533.0,11080.0,9605.0,12761.0,14199.0,15330.0,15766.0,16028.0,17096.0,15827.0,15947.0,19346.0,18301.0,15856.0,17033.0,19950.0,20969.0,22056.0,20585.0,21317.0,21997.0,13343.0,18192.0,18337.0,13608.0,13482.0,14538.0
Iraq,Wheat,13743.0,8279.0,8198.0,6006.0,8687.0,8112.0,6083.0,6354.0,7101.0,7564.0,8260.0,7059.0,9558.0,9125.0,8355.0,8408.0,8925.0,8374.0,10129.0,8056.0,5999.0,5897.0,7431.0,8052.0,8667.0,7566.0,8071.0,6154.0,3200.0,7405.0,15703.0,13590.0,11898.0,8738.0,13783.0,14031.0,13678.0,18756.0,19872.0,19552.0,24181.0,23068.0
