,,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
Year,,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Azerbaijan,"Tobacco, unmanufactured",,,,,,,,,,,,,,,,,,,,,24258.0,22060.0,15111.5,11323.0,11009.5,13495.0,13001.5,11919.0,14641.5,13273.0,11251.5,12229.0,13627.5,14222.5,14079.0,11890.5,12188.5,11471.0,12677.5,13183.0,14728.0,14813.5
Azerbaijan,Watermelons,,,,,,,,,,,,,,,,,,,,,36382.5,46126.0,38785.0,39020.5,34565.5,38043.0,38861.0,57229.0,62175.0,64810.0,69697.5,72025.5,73470.5,75609.0,77323.5,80575.0,77951.5,80178.0,84234.0,88868.0,87215.0,90514.5
Azerbaijan,Wheat,,,,,,,,,,,,,,,,,,,,,228177.0,257901.5,234964.5,216837.0,236510.0,273452.5,261071.5,221593.0,259276.5,298640.0,338200.0,307649.5,318333.5,308635.0,293312.5,257632.0,315593.0,416923.0,337930.5,339227.0,356746.5,357931.0
Bahrain,Watermelons,,,13752.0,43335.0,42502.0,42502.0,42503.0,39589.5,40914.5,45005.0,45005.0,45005.0,45005.0,44449.0,43758.0,42864.0,38244.0,37508.0,64289.0,53129.0,41671.0,42505.0,36115.5,34379.0,37226.5,33935.5,32507.0,16883.0,32002.5,35002.5,40003.0,40001.0,40001.5,31252.0,182782.5,196671.0,193752.0,179002.5,184845.5,214203.5,233072.0,248891.0
Bangladesh,"Tobacco, unmanufactured",24761.0,27777.5,27679.5,27236.0,29191.0,38694.5,32250.0,29291.0,26928.0,30304.0,32142.0,31001.0,30465.0,30684.5,31097.5,27481.0,27989.5,27181.0,26728.5,23451.5,23026.5,23106.0,23475.0,23278.0,23548.5,22900.0,21995.0,20376.0,21196.5,21154.5,21436.0,21393.0,21600.5,21318.0,22592.5,21731.0,21515.5,21675.0,26358.5,32540.5,33842.5,32415.0
Bangladesh,Wheat,68148.5,63852.0,66212.0,67648.5,82318.5,88129.0,103678.5,141706.5,226105.5,304847.5,276091.0,270237.5,274559.0,348886.0,279796.0,301711.5,307482.0,289171.0,303517.0,307861.0,296592.0,327702.0,316695.0,329241.5,360265.5,364173.0,413465.5,451925.5,427275.5,397321.5,381822.0,363901.0,330701.0,287945.5,247172.0,208735.5,204876.5,208064.0,200107.5,199860.0,192985.0,223277.0
Belarus,Wheat,,,,,,,,,,,,,,,,,,,,,72991.5,79413.0,61901.0,100895.5,147494.5,160566.0,195173.5,214011.0,236683.5,214627.5,202359.5,171137.0,186147.0,195421.0,204804.0,229466.0,277125.0,297016.0,315819.5,338775.5,374340.0,358520.0
Belgium,"Tobacco, unmanufactured",,,,,,,,,,,,,,,,,,,,,,,,,,,,,15200.0,17700.0,15200.0,17475.0,16424.5,12116.5,13610.0,11008.0,15190.0,11985.0,14037.5,15377.0,13747.0,15111.0
Belgium,Wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146149.0,130787.5,142578.5,138501.0,151420.5,148240.5,141939.5,139402.5,149427.5,148210.0,148902.0,142429.5,150791.0,145601.5
Belgium-Luxembourg,"Tobacco, unmanufactured",16005.0,17192.0,15449.5,17044.0,15956.0,16931.0,16943.0,17409.0,12362.5,16890.5,18084.5,17149.5,17362.0,17720.0,18120.5,13993.0,17810.0,17771.0,17024.0,18140.5,18819.5,18905.0,18900.0,16982.5,18030.5,14629.5,17668.5,17390.0,,,,,,,,,,,,,,
Belgium-Luxembourg,Wheat,133541.5,130710.0,126397.0,114170.5,128112.0,117413.0,123507.0,124523.5,121315.0,113301.5,120517.5,127734.5,131388.0,128465.5,131938.5,125331.0,133755.0,143221.0,141169.5,140942.0,140654.5,141651.5,142647.0,144259.5,151592.0,147918.5,152261.5,134878.5,,,,,,,,,,,,,,
Belize,Watermelons,,,,,,,,,,,,,,,,,,38010.0,56891.0,81840.0,119374.5,115969.5,112612.5,40616.0,58989.5,36022.0,61241.0,80039.0,121008.0,134380.0,111390.5,88760.0,97603.0,97381.5,99900.0,81514.5,74205.5,127701.0,88392.5,102575.5,95742.5,88482.0
Benin,"Tobacco, unmanufactured",4524.5,5272.5,5084.5,5443.5,2449.5,2793.5,1921.0,3583.0,3954.0,4829.5,2937.0,2235.5,2943.5,3028.0,3082.5,2624.0,2779.0,3400.5,3190.5,3157.0,3715.0,2953.0,3426.5,3080.5,3410.0,3095.0,3599.5,4286.0,3875.0,3579.5,3980.5,4796.0,4836.5,5181.5,3471.5,4714.0,3497.0,3323.0,3885.5,4042.5,3760.0,3764.0
Bhutan,"Tobacco, unmanufactured",,,,,,,,,7025.0,7025.0,7025.0,7178.0,7104.0,7227.5,7101.5,6989.5,7035.5,7153.0,7050.0,6957.5,7100.5,7109.0,7136.5,7162.5,7186.0,7209.0,7230.5,7250.5,7270.5,7289.0,7307.5,7324.5,7341.5,7358.5,7374.5,7390.5,7406.0,7422.0,7437.5,7452.5,7585.5,7489.5
Bhutan,Wheat,8424.5,8522.5,8620.5,8718.5,8816.5,8900.0,9000.0,9100.0,9250.0,9720.5,10013.0,10500.0,10993.0,10500.0,10583.5,9000.0,6403.0,6403.0,7096.0,7166.5,7295.5,8833.5,10250.0,11500.0,13083.5,14192.5,14192.5,14192.5,7028.5,7250.0,7667.5,8792.0,8362.5,10809.5,10115.5,9896.5,10478.0,8744.5,11944.5,14517.0,12356.5,12831.0
Bolivia (Plurinational State of),"Tobacco, unmanufactured",6600.5,7227.5,7850.0,7084.0,6507.5,6663.5,5601.5,5571.5,5846.5,5275.0,4793.0,5014.5,4981.0,4899.0,4827.0,4762.5,4897.5,4893.0,4940.5,5077.0,4624.0,4744.0,4838.5,4930.5,4946.5,4981.0,4981.0,5120.0,5129.0,5135.5,5145.0,6904.0,7053.5,7254.5,7292.0,7515.5,7507.5,7466.5,4527.5,4479.5,4286.0,4468.0
Bolivia (Plurinational State of),Watermelons,,,,,,,,,32546.0,29877.5,30567.0,32237.5,40834.5,39625.5,40359.0,42922.5,38358.5,47852.5,48925.0,49542.0,49283.0,49554.5,49281.0,49330.0,48827.5,49105.5,49105.5,51138.0,51347.0,51260.5,51055.0,50984.0,50900.0,46804.0,47484.0,45894.0,46723.0,62714.5,66994.5,68504.5,76516.0,76220.5
Bolivia (Plurinational State of),Wheat,36321.5,38569.0,41032.0,42447.0,44727.0,45847.5,47055.5,52489.5,53181.0,51449.0,51633.5,40776.0,53421.5,53828.5,56946.0,51479.5,44675.0,47144.0,45276.0,62882.5,63219.0,75473.0,58505.0,67879.0,69709.5,84518.5,101523.0,90784.5,64015.0,61903.0,71714.5,62101.0,59731.0,66445.0,70201.5,95319.0,83794.5,84766.0,93666.0,98858.0,83602.5,99043.0
Bosnia and Herzegovina,"Tobacco, unmanufactured",,,,,,,,,,,,,,,,,,,,,7069.0,7633.5,6732.5,6429.0,7050.0,8122.0,9246.0,9849.5,6716.0,7442.0,9490.0,6834.0,9092.5,9066.0,9286.5,8194.0,8715.0,8316.5,7075.5,7029.5,5607.5,6765.5
Bosnia and Herzegovina,Watermelons,,,,,,,,,,,,,,,,,,,,,150063.0,140075.0,107174.5,96907.5,87103.5,75100.0,70500.0,76000.0,70750.0,74886.0,66715.0,49345.5,56000.0,50900.0,66034.5,75500.0,78228.0,73104.5,74353.0,70780.5,102300.0,104589.0
Bosnia and Herzegovina,Wheat,,,,,,,,,,,,,,,,,,,,,67000.0,66900.0,62389.0,52053.5,42563.5,62685.5,69139.0,61030.0,68186.0,64725.5,60354.0,46842.0,61800.5,55903.5,52523.0,54364.0,50873.0,52761.5,40622.0,47180.0,48897.5,53418.0
Botswana,Wheat,12600.0,10465.0,10320.0,10320.0,10690.5,10150.0,10150.0,10150.0,10150.0,10250.0,10250.0,10250.0,10250.0,10250.0,10250.0,10250.0,10250.0,10250.0,13280.0,11471.0,10853.5,10552.0,10195.0,9782.0,9650.0,8790.5,8483.5,8311.0,8068.0,8032.0,7390.0,6940.0,6445.5,5899.5,5317.5,4540.0,4065.0,0.0,0.0,0.0,0.0,0.0
Brazil,"Tobacco, unmanufactured",130871.5,122602.0,126633.5,132502.5,145512.5,161425.5,170327.5,169491.5,164611.0,154927.5,165240.5,162175.5,148436.5,142126.0,145065.0,153773.0,147146.5,151233.5,145175.5,150836.0,180782.0,195248.0,168205.5,154482.5,166151.0,177858.5,183983.5,180010.0,164567.5,160674.5,181780.5,204666.0,241097.5,255887.0,256935.0,239628.5,225937.0,230953.0,233575.0,237723.0,214992.0,213122.0
Brazil,Watermelons,71334.5,65829.0,57977.5,57882.5,50154.5,50741.5,54821.5,54595.5,56006.0,56281.5,61748.5,59456.0,62019.5,59749.5,59963.0,65033.0,68578.5,67043.0,66147.0,65983.5,63142.5,66450.5,67123.5,87768.5,73623.5,79079.5,77369.0,81064.0,82508.5,132384.0,136590.5,156947.5,146725.5,138530.0,151175.0,156641.5,157215.5,157033.5,155583.5,161357.5,157204.5,163565.0
Brazil,Wheat,1162096.0,925217.5,1241359.0,1468804.0,1774487.5,1579942.5,1410380.5,1919092.5,1565380.0,965825.0,1417194.5,945490.5,876530.0,1346432.5,1956092.5,1736249.0,1746408.0,1649622.0,1346265.0,1031846.0,984957.5,748527.5,682195.5,505077.0,907169.5,768952.0,712480.5,634731.5,576921.5,873490.0,1059827.0,1292132.5,1413976.0,1190215.5,788051.0,937711.5,1194695.0,1225527.5,1104927.5,1082759.0,967905.5,1057443.0
Brunei Darussalam,Watermelons,,,,,,,,,,,,,,,,,,,60001.0,71619.0,72049.0,83335.0,66252.0,82502.0,74002.5,73448.5,70002.5,74076.5,80836.5,70003.5,75003.5,71254.0,79002.5,72146.5,75354.0,77146.5,76072.5,76204.0,76160.0,76360.5,76557.5,76757.5
Bulgaria,"Tobacco, unmanufactured",67317.0,65551.5,67543.5,69881.0,67151.5,65721.5,63541.5,64609.0,59691.0,59437.5,58870.5,59058.0,58618.5,57067.0,57623.5,52590.0,50264.5,41930.0,33683.5,33484.0,32780.0,25201.0,19496.5,13722.5,21071.5,28164.0,22561.5,19641.5,19923.0,29099.0,27589.5,28145.0,30952.0,27571.5,21349.5,21840.0,21030.0,23141.5,20631.5,20206.5,16805.0,19133.0
Bulgaria,Watermelons,81471.0,82976.5,78363.5,83614.5,64978.5,76485.0,74284.5,86863.0,74648.5,76204.5,87912.5,61089.5,73303.0,67522.0,76538.0,84147.0,76863.0,28586.5,63558.0,69606.5,75655.5,61690.5,71471.5,76891.0,63754.0,64580.5,65177.0,79464.0,54651.0,73993.0,99202.0,104838.5,84787.5,80519.5,109184.0,115368.5,115356.5,117179.5,95483.5,91515.0,91650.5,106761.0
Bulgaria,Wheat,499025.5,484407.0,468781.5,472426.0,478170.0,473738.5,485940.0,496298.5,503719.5,537693.0,552924.5,579941.5,584646.5,547874.0,582568.5,561830.0,610832.0,592956.5,604144.5,618659.5,569516.0,647280.5,674103.5,605102.5,488244.0,620611.0,584870.0,496817.0,503498.0,692793.0,699375.0,432421.0,538890.0,566687.0,502209.0,554984.5,576603.5,639795.5,583875.0,588329.5,611301.5,678086.5
