Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Brunei Darussalam,BRN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,7577.998268,4783.465353,6131.217647,9084.685664,5036.63252,5004.368611,4911.414636,7671.963654,9297.129662,8091.020208,9359.03542,8139.796791,8059.451459,15515.91682,8878.963243,7449.065801,9030.343984,12087.41064,9445.201508,6472.149587,10851.51222,9730.58578,14293.6309,11711.00302,10327.19455,11785.77585,8888.171916,8802.169285,3571.92305,423.2864091,538.3875526,589.2448036,669.7462709,442.968401,580.7592041,603.6346841,677.8544043,1065.961872,802.9623389,850.0863624,2046.651545,2195.924937,2807.609021,,,,,,,
Bhutan,BTN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-638.4934932,-634.6952434,-481.1948685,-639.0180735,-663.6720462,-651.2422658,-567.7116706,-273.4092112,-604.0920576,-427.2480053,-546.9584021,-501.5552663,-515.1145686,-646.0731136,-591.9197479,-567.2243949,-506.1672881,-453.2870156,-451.4332584,-528.6140483,-551.7701436,-552.4230173,-453.6025875,-386.7318073,-588.5937789,-437.7970983,-433.9433931,-499.2123966,-160.1191101,1459.598391,383.7360036,-203.6114043,-77.98079251,-199.3168932,-202.7315988,-240.0619954,-281.4238869,254.0900972,-339.369283,-548.5662078,-224.910112,-400.1407714,-392.9023414,,,,,,,
Botswana,BWA,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,362.6177001,382.3448556,417.3262325,456.0047356,474.5795643,550.5699088,259.4816874,312.8035479,313.0960765,340.974841,458.4424061,-492.042092,-597.6962402,-540.6661895,-516.1258323,-396.8282894,-502.2820784,-550.0765092,-643.7153097,-706.2398586,-1078.399635,-970.1371829,-1518.830019,-1575.27968,-1262.957552,-1341.669968,-1155.192325,-1184.780533,23624.18869,23819.91615,28859.38701,40903.2506,36537.96539,6214.93338,12383.5847,11860.64217,33070.34337,15500.06381,62597.80546,12245.20008,69917.81699,70452.83011,70405.36291,,,,,,,
Central African Republic,CAF,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,41247.54987,40276.44568,39808.62177,42791.62061,34316.95341,36330.81267,37074.48887,42938.28491,36916.44589,39930.75416,48794.55891,41193.67329,47211.92462,44118.54895,43847.50442,40074.33672,40439.5817,42014.70039,39173.01824,42313.86569,52749.73807,42619.42751,49173.43687,45870.71501,45630.80199,50445.09363,49177.34176,50065.08228,499544.958,383554.7395,441306.3684,375133.5961,300287.5068,476015.8657,292637.3396,399220.7733,396036.4542,374766.7585,390876.0805,267410.2552,328297.2292,328297.4862,328300.9223,,,,,,,
Canada,CAN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-56228.99844,-49237.05156,-78390.89922,-78205.04609,-69697.69922,-66668.15156,-37536.09688,-54865.45469,-78639.19859,-9422.953125,30250.59375,36788.15,-43751.00625,-45743.24531,-70242.69375,-66521.35938,-62697.3,-70002.15469,-55033.1,64806.35,-69238.10469,-60101.80469,-88942.4,-68127.00156,16370.10156,417.1015625,-104992.5078,-113148.0016,267967.1094,-11712.80469,-114693.8047,-153217.9125,17549.39063,75621.29688,149835.6094,-20527.70313,51323.19531,37291.29688,40772.71094,-66108.65443,-61185.44532,209366.0543,196078.1549,,,,,,,
Central Europe and the Baltics,CEB,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,142727.4542,131099.8397,141874.2664,146763.5941,159032.0771,153515.1864,153790.5524,157317.1016,164659.6799,160422.1958,149781.4684,181735.7553,167508.6747,160486.4812,157907.4542,147008.8647,152573.1379,121627.5796,139083.037,141571.1763,10738.54953,5205.809339,9729.849752,28219.76311,27199.42052,15568.72191,-14194.16146,-6807.337491,-37803.70161,-30709.2965,-8153.645618,-11721.2413,-3027.308279,-8959.597177,6319.176016,7374.314203,7732.954253,6824.722412,16851.92957,30529.50667,35463.87365,45519.70449,34019.62987,,,,,,,
Switzerland,CHE,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,1091.287537,575.5493799,386.2618652,1174.233896,1112.709888,1166.896196,816.8612051,1550.115967,1692.671323,1363.94206,1579.389067,2285.108826,1164.360674,2173.857207,1396.599492,1925.611743,1676.781848,3509.668545,1862.69613,2570.067092,1711.104292,1164.040742,974.9730957,1009.645688,1870.4973,935.3866504,665.0015664,1217.087488,210.6934082,411.3054199,74.69077656,169.266748,248.7250977,601.3370605,750.1875977,827.2185059,1218.491406,1537.121289,2510.142432,2750.505078,2801.66502,2949.275837,3930.740004,,,,,,,
Channel Islands,CHI,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,-211.2475957,-1375.870611,-1603.084143,-1942.934005,-1342.839635,-1282.079261,-1547.707776,-1007.414861,-721.9089652,-696.9859992,-264.6372637,249.4301836,479.249043,605.868748,330.266293,527.1181387,767.2136855,761.0593125,873.3744941,895.5012363,4481.778518,4197.406115,4819.004785,4880.158314,4731.263486,4341.941025,4391.054883,5151.327828,13706.59809,14925.28214,11861.65276,14074.5844,14049.44502,15268.1903,15768.15482,15562.50558,14181.04977,16477.1435,11277.62987,14922.23678,14278.09277,10726.40116,15093.26858,,,,,,,
China,CHN,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,50660.49837,51992.97559,58213.51009,64450.60634,65035.12497,76104.17419,81628.79825,95375.71271,101579.046,98777.48615,110145.4692,107242.4046,113225.5649,131289.1498,143288.3668,146418.9444,162281.6268,54638.42403,205248.2755,222342.6173,229889.1573,250366.7121,280117.6854,194210.9017,220376.7458,227676.711,350736.4988,249556.3419,196671.1813,200381.4156,-13866.73125,-141411.75,-142600.4938,-103926.0063,-65030.1,-169307.2,-171246.6125,-326272.6,289550.5,288035.8,52616.1,21782.1,141901.1,,,,,,,
